code,name_kr,n_tumor,n_normal,log2FC_CCN2,log2FC_CCN1,padj
BRCA,유방암,1085,291,,,
UCEC,자궁내막암,174,91,,,
READ,직장암,92,318,,,
COAD,결장암,275,349,,,
ACC,부신피질암,77,128,,,
UCS,자궁육종,57,78,,,
BLCA,방광암,404,28,,,
CESC,자궁경부암,306,13,,,
CHOL,담관암,36,9,,,
DLBC,미만성 거대B세포림프종,47,337,,,
ESCA,식도암,182,286,,,
GBM,교모세포종,163,207,,,
HNSC,두경부암,519,44,,,
KICH,신장혐색소세포암,66,53,,,
KIRC,신장투명세포암,523,100,,,
KIRP,신장유두상세포암,286,60,,,
LAML,급성골수성백혈병,173,70,,,
LGG,저등급교종,518,207,,,
LIHC,간암,369,160,,,
LUAD,폐선암,483,347,,,
LUSC,폐편평세포암,486,338,,,
OV,난소암,426,88,,,
PAAD,췌장암,179,171,,,
PCPG,크롬친화세포종/부신경절종,182,3,,,
PRAD,전립선암,492,152,,,
SARC,육종,262,2,,,
SKCM,피부흑색종,461,558,,,
STAD,위암,408,211,,,
TGCT,고환생식세포종양,137,165,,,
THCA,갑상선암,512,337,,,
THYM,흉선종,118,339,,,
